date,symbol,marketcapname,sector
02-03-2020,ADANIPOWER,Largecap,Miscellaneous
02-03-2020,JSWENERGY,Largecap,Miscellaneous
02-03-2020,COALINDIA,Largecap,Industrials
01-04-2020,ABB,Largecap,FMCG
01-04-2020,SBIN,Largecap,Bank
01-04-2020,TATAPOWER,Largecap,Miscellaneous
01-04-2020,BANKBARODA,Largecap,Bank
01-04-2020,PNB,Largecap,Bank
01-04-2020,UNIONBANK,Largecap,Bank
01-04-2020,CANBK,Largecap,Bank
04-05-2020,ABB,Largecap,FMCG
04-05-2020,SBIN,Largecap,Bank
04-05-2020,BANKBARODA,Largecap,Bank
04-05-2020,PNB,Largecap,Bank
04-05-2020,UNIONBANK,Largecap,Bank
04-05-2020,CANBK,Largecap,Bank
04-05-2020,INDIGO,Largecap,Services
01-03-2021,IRFC,Largecap,Finance
01-04-2021,IRFC,Largecap,Finance
01-02-2022,AMBUJACEM,Largecap,Industrials
01-02-2022,ICICIGI,Largecap,Services
01-02-2022,HDFCLIFE,Largecap,Services
01-02-2022,ICICIPRULI,Largecap,Services
02-03-2022,AMBUJACEM,Largecap,Industrials
02-05-2022,MOTHERSON,Largecap,Auto
01-06-2022,BAJFINANCE,Largecap,Finance
01-06-2022,LT,Largecap,Realty
01-06-2022,MOTHERSON,Largecap,Auto
01-06-2022,IRCTC,Largecap,Miscellaneous
01-06-2022,UNITDSPR,Largecap,FMCG
01-06-2022,ULTRACEMCO,Largecap,Industrials
01-07-2022,LICI,Largecap,Services
01-08-2022,LICI,Largecap,Services
01-09-2022,LICI,Largecap,Services
03-10-2022,LICI,Largecap,Services
02-01-2023,ADANIGREEN,Largecap,Miscellaneous
01-02-2023,ADANIGREEN,Largecap,Miscellaneous
01-02-2023,ATGL,Largecap,Industrials
01-02-2023,DIVISLAB,Largecap,Pharmaceuticals
01-02-2023,ADANIPOWER,Largecap,Miscellaneous
01-02-2023,ADANIENSOL,Largecap,Miscellaneous
01-02-2023,ICICIPRULI,Largecap,Services
01-03-2023,IRCTC,Largecap,Miscellaneous
01-03-2023,DIVISLAB,Largecap,Pharmaceuticals
01-03-2023,BAJAJFINSV,Largecap,Finance
01-08-2023,VEDL,Largecap,Industrials
01-09-2023,VEDL,Largecap,Industrials
03-10-2023,VEDL,Largecap,Industrials
03-10-2023,JIOFIN,Largecap,Finance
01-10-2024,IRCTC,Largecap,Miscellaneous
01-10-2024,INDUSINDBK,Largecap,Bank
01-10-2024,PNB,Largecap,Bank
01-11-2024,IRCTC,Largecap,Miscellaneous
01-11-2024,INDUSINDBK,Largecap,Bank
01-11-2024,CANBK,Largecap,Bank
02-12-2024,RELIANCE,Largecap,Industrials
02-12-2024,ADANIGREEN,Largecap,Miscellaneous
02-12-2024,IRCTC,Largecap,Miscellaneous
02-12-2024,INDUSINDBK,Largecap,Bank
02-12-2024,GODREJCP,Largecap,FMCG
02-12-2024,CANBK,Largecap,Bank
01-01-2025,ABB,Largecap,FMCG
01-01-2025,ADANIGREEN,Largecap,Miscellaneous
01-01-2025,IOC,Largecap,Industrials
01-01-2025,IRCTC,Largecap,Miscellaneous
01-01-2025,BANKBARODA,Largecap,Bank
01-01-2025,GAIL,Largecap,Industrials
01-01-2025,INDUSINDBK,Largecap,Bank
01-01-2025,AXISBANK,Largecap,Bank
01-01-2025,CANBK,Largecap,Bank
01-01-2025,NHPC,Largecap,Miscellaneous
01-01-2025,JSWENERGY,Largecap,Miscellaneous
01-01-2025,COALINDIA,Largecap,Industrials
01-01-2025,IRFC,Largecap,Finance
01-01-2025,ADANIENSOL,Largecap,Miscellaneous
